userName,score,content,at
Erni 15,5,"bagus juga aplikasi ini,,,, saya suka,,,,,bisa ber sosialisasi bersama orang,,,,,saya kasih 5 bintang,,, ayo main tiktok,,,👍",2026-02-17 14:13:14
Tangguh Xavi,5,bagi developer tiktok tolong tambahkan fitur seperti yutub seperti melihat video lawas jadi ga usah susah2 scroll dan fitur itu bisa buat liat konten lama dari seorang creator atau video yang kita like/favorit atau posting ulang semoga dibaca dan ditambah fiturnya biar bisa liat video kenang2 ngan,2026-02-17 14:11:21
Nanda Setya,5,Cara cepetin Vidio ditiktok gmn woyyyy,2026-02-17 14:10:53
Nisaa Sabyan,2,ga ada tata letaknya,2026-02-17 14:09:07
Lintiani Tinti,3,Sy bingung ko GK ada livenya tiktok sy,2026-02-17 14:07:37
Sri Handayani,5,saya suka sekali banyak tontonan yang lucu dan menarik dan tidak ada iklan,2026-02-17 14:04:05
Baran Pradipta6,1,karna ngeblokir akun saya,2026-02-17 14:01:26
Konterjawa 2025,5,seru banget,2026-02-17 14:01:16
LupitaRm,5,"udh bagus si tapi knp tiap event potong harga gaada trs di akunku, pdhl persyaratannya juga udh dipenuhi",2026-02-17 13:59:21
Cristabel Sembiring,2,"I hope you don't get too sensitive and if possible, please return my account, my name is lovingfall larna, that account is very important for me and I hope in the future it will be sensitive and there will be no bugs",2026-02-17 13:59:06
roni,1,aplikasi kikir,2026-02-17 13:58:10
wahyu Adi Nugroho,5,"Tiktok keren banget, banyak hal baru serta kesempatan untuk selalu berkembang baik dari segi kreatifitas maupun layanan, bagi yang sudah stay maupun yang baru in, saya rasa sangat mudah untuk penggunaan fitur-fiturnya.",2026-02-17 13:56:25
Adtya Mengkull,2,"kenapa ya tiktok sering mogok pdhl hp nya ga kentank"" amat, trs ada tulisan ""tiktok mogok karena masalahnya sendiri""",2026-02-17 13:54:41
Rakean Dewa,1,BALIKIN AKUN GUAH MIMIN!! PLIS PLIS😭😭😭,2026-02-17 13:54:26
adit nanas,1,ga di kasi potongan harga,2026-02-17 13:53:47
Lia Fatimah,5,bagus,2026-02-17 13:53:09
Der Dor,5,sangat puaa,2026-02-17 13:52:45
