userName,score,content,at
Waluyo Noer,5,bagus,2026-02-17 11:15:16
Feb Anisa,5,aplikasi ny bagus banget tapi ada fitur yang ngga ada dan jika di download ulang ulisannya tipis nggak tebal lagi,2026-02-17 11:15:07
Widy Jaey,5,"sungguhh luar biasa,app ini bsa menghibur aku",2026-02-17 11:14:20
Wafiq aida sakin,4,kadang sukaaa nge bleng,2026-02-17 11:14:00
Kris Mundarsih,5,bagus tapi tiba tiba kena pelanggaran,2026-02-17 11:13:46
Kurokawa Izana,2,posting ulang teman atau orang yang saya follow tidak muncul di beranda,2026-02-17 11:12:58
Achmad Mudaffar,1,nge bug cuk,2026-02-17 11:11:35
mikaa luv,4,oke,2026-02-17 11:10:34
ALFAWWAZY Youtuber,5,"Hai 😁 terima kasih ya developer tik tok karena tik tok sudah menemani saya bertahun tahun dengan saya menyaksikan banyak konten yang bermanfaat maupun yang tidak bermanfaat 🤣 tetapi tidak apa apa ya dan pada hari ini sebelum besok nya bakalan memasuki hari pertama puasa, saya memutuskan untuk pensiun dari aplikasi tik tok dan aku sekali lagi berterima kasih karena sudah menghibur aku di mana dan waktu juga dan aku ingin memperkuatkan iman ku dari sekarang dengan giat beribadah goodbye 🥹🙌",2026-02-17 11:09:02
Muhammad Ilham,2,ini kok tt nya eror minn,2026-02-17 11:08:09
Haru Hana,1,"kenapa sekarang setiap buka tiktok selalu kepental (keluar apk sendiri) masalah ny gk cuma sekali udah di buka malah keluar gitu² aj jd males buka emang gk bisa di buka malah, btw it gk cuma di HP gw aj di HP mak gw juga gitu",2026-02-17 11:07:33
Raihana Qonita,5,karna semua vidio ada di tiktok,2026-02-17 11:07:31
Nayla putrii,5,bang mabar ff,2026-02-17 11:07:05
Noval Arkan,2,"maaf, mengapa tiktok selalu lemot? , padahal jaringan stabil",2026-02-17 11:06:09
Erin Dwiamanda,2,dikarenakan saya akun ya keblokir jadi bingung mau mainan apa,2026-02-17 11:06:09
Yudhis Isback,1,I hate COUNTRYBALLS,2026-02-17 11:06:01
Mursalina Rizani,5,kenapa punya saya gak ada tiktok offline nya jawab dong yang tau,2026-02-17 11:05:56
Rizqii Hikamii,5,bagus bgtt sumpilll 🔥🔥🔥menyala * TIKTOK*,2026-02-17 11:04:48
Verrana,1,jelek banget,2026-02-17 11:02:16
Zulfa Ainunattaqiyyah,1,Saya menginginkan aplikasinya tidak lemot,2026-02-17 11:02:15
jamal yasir,5,mantap,2026-02-17 11:00:43
Sofie Aryanti,1,"Saya terus mendapatkan pesan ""Frekuensi kunjungan terlalu sering"" saat mencoba login. Saya sudah mengikuti instruksi sebelumnya untuk menunggu selama 24 jam tanpa melakukan percobaan login sama sekali, namun masalah ini tetap muncul baik di aplikasi maupun browser. Mohon tinjau akun saya secara manual karena ini tampaknya merupakan kesalahan sistem (bug) pada limit keamanan, bukan karena aktivitas mencurigakan. Saya sangat membutuhkan akses ke akun saya.",2026-02-17 10:59:57
Zaskia Salsabila,1,"ternyata banyak jg komplain mslh gabisa dibuka dll dan yg bikin heran lagi, bnyk yg udh komplain dari lama loh kok masih tetep aja gada yg berubah dan gw udh berhari² nungguin perbaikan nya manaa,gada samsek yg berubahh. GA PERNA SEMUAK INI 〒⁠﹏⁠〒",2026-02-17 10:59:36
fitalis batlayeri,1,sangatttt baik sekali,2026-02-17 10:58:51
Bunga Sekar,5,aplikasi ini sangat bagus sampai ada idola saya muncul dan ada saya juga di tiktok,2026-02-17 10:57:25
Aulia Enty,5,bikin apii,2026-02-17 10:55:25
Marwah Sari,1,jelek,2026-02-17 10:54:54
ucup slepet,1,"tolong tiktok, perbaiki ai nya.. saya live nya bener bener tapi kena restrict teruss padahal saya live nya benerr benerr, tolong ya kalau ga bisa jual aja tiktok nya. TOLONG DI BALES.",2026-02-17 10:52:11
Vannes Wong,1,"lemot, hp jd susah di atur",2026-02-17 10:50:34
lilliieee,2,"kenapa ya tiba tiba ga bisa buka komen, selalu loading kalau gk ya ada tulisan ""coba lagi nanti' padahal jaringan bagus bagus aja, tolong di tanggapi ya min🙏😞",2026-02-17 10:49:58
Marjoko,5,bisa lebih ditingkatkan lagi,2026-02-17 10:49:34
Muhammad Raffi,3,tidak mudah fyp,2026-02-17 10:48:29
Ziva Wenda,1,karna setiap aku membuat akun pasti tidak bisa,2026-02-17 10:47:45
Riska Aja,5,seru bangat cod sma nonton cod pun murah,2026-02-17 10:42:51
Sipedut yp,5,Saya mau coba,2026-02-17 10:41:40
Rendi Hermawan,3,tolong perbaiki lagi bug tidak bisa buka komen,2026-02-17 10:41:11
Sonia Nur avifa,4,kenapa tiktok sekarang fitur shop malah diganti dengan teman ya? apa cuma punya saya doang,2026-02-17 10:40:07
AKMAL 0202,5,mantap,2026-02-17 10:39:05
Salsa Putri,3,"kenapa tidak muncul fitur tiktok shop di beranda, tolong berikan solusi!",2026-02-17 10:37:15
Mahraja Ritonga,5,baik,2026-02-17 10:33:58
Rizkaputri235,4,"bagus, tapi masalah nya jarang fyp dan kalau aku ngerepost atau nge like video lama nanti ada pemberitahuan ""anda mengetuk terlalu cepat, istirahat lah"" buat apa sih ah pemberitahuan itu, gak penting asli",2026-02-17 10:33:45
anak bebek,5,baguss banget tapi bikin ngelag,2026-02-17 10:29:28
Azzira Cantik,5,adalah pokoknya,2026-02-17 10:28:36
Zahro,5,"kak tiktok saya kok selalu telat dapat fitur baru, yang foto live aja masih gk bisa sampe sekarang.",2026-02-17 10:27:24
Bruce Pope,5,"aplikasi sarang monyet, pengguna nya kebanyakan bocah² ga jelas yang IQ nya dibawah rata² dikasih vidio edukasi malah komen ""ga peduli""🤓☝️",2026-02-17 10:26:19
Arull Ramdani,5,bagus,2026-02-17 10:25:47
Kaway Putra,1,udah 3 hari App tdk bisa terbuka pencarian terus berputar putar semntara App lain tdk ada Masalah maupun jaringan.TOLONG setelah pembaruan TIKTOK jdi Eror,2026-02-17 10:24:23
Fanya Maulidaa,2,nggak ada toko nya!,2026-02-17 10:20:42
almira najuanid salwa,3,"nge bug apa gimana, gabisa di update",2026-02-17 10:18:07
Elgawan Pebrita,2,iklan2 mulu asuw emng lah,2026-02-17 10:17:44
wilkedias seran,5,Maaf baru Mau gunakan aplikasi ini,2026-02-17 10:16:18
Muhamad Solahudin,5,mantap,2026-02-17 10:16:01
Vido Siku,1,kok tiktok pilih kasih sihh yg lain pada ada koin potongan harga 100 perak tapi akun saya yang bernama vidoo_4 ga ada tolong la kalo ada fitur gitu harus ad semua gitu,2026-02-17 10:15:10
Kikiaditia23 Kikiaditia23,2,hp ku jadi rusak,2026-02-17 10:14:21
Siska Febiana,5,karena saya lebih mudah untuk berbelanja karena tidak usah lagi men download shopee,2026-02-17 10:14:00
Alvionita,1,"Baru kali ini bintang 1 ke tiktok, soalnya sejak 2 hari lalu, mau buka komen loading terus. padahal gak dibatasi tapi buka komen selalu lama, akhirnya aku scroll terus tapi sangat menggangu karena user experience jadi kurang. gak tau ini cuma di aku atau gimana tapi setelah ku uninstall tetap sama problemnya. so, tolong diperbaiki, nanti aku ganti bintangnya",2026-02-17 10:13:32
Rachmat very Irawan,2,INI KENAPA KERANJANG GUA GABISA DIBUKA PDHL SINYAL AMAN WOI,2026-02-17 10:13:25
Ian (Cumi),2,TIKTOK mah aneh,2026-02-17 10:10:59
Syatifa Awaliya,1,beranda tiktok saya tidak bisa di scroll,2026-02-17 10:10:17
Raudah Ara,5,saya mau kalo baru donlod tik tok gak usah buat akun,2026-02-17 10:10:05
Ya Gaktau,5,tiktok mohon mb nya di kurangi🙏🏻,2026-02-17 10:08:44
Cintyaaja Weh,5,seru,2026-02-17 10:08:25
naya auliya,3,"ini knpsih ga bisa buka komen, gbs buka chat, gbs switch account, gbs buka profile. tp scroll bisa, aneh bgt",2026-02-17 10:07:27
Aliska Keysa,5,saya sangat senang karena dengan adanya tiktok ini saya bisa buat tren terbaruu,2026-02-17 10:07:20
Arum Megalestari,1,"ini kenapa sih? udah 5× download tetep aja gabisa, udah pake paket data tetap gabisa, penyimpanan masih banyak, gimana nih? tolong dong makin lama makin ngawur ngabisin paket data aja",2026-02-17 10:06:16
Azka 123,5,banyak sekali orang masuk dan bagus,2026-02-17 10:05:56
Faisal Abret,5,bagus,2026-02-17 10:05:37
Aura,1,terkadang kalau lagi livestreaming lalu kembali sendiri dan sangat berat apk tiktok nya cepat hp panas dan hp patah patah setelah itu hp nya mati sendiri dan apk nya sangat jelek,2026-02-17 10:05:27
mwmwk lobok,1,tolong tiktok ini saya ngescrol tiktoknya kok ga mau ke scrol,2026-02-17 10:05:20
Miliani Sandra Dewi,5,bagus,2026-02-17 10:04:43
Dewa Komang,1,fitur toko tidak muncul,2026-02-17 10:04:19
anii caa,1,kasih aja itu ptongan harga 70 perak terus gajelas,2026-02-17 10:04:13
Ratna Anjani,5,bagus,2026-02-17 10:04:09
IFAN Fadilah,5,aku gak bisa download,2026-02-17 10:03:46
Tazkia Nafisah,5,suka banget kalo bosen tinggal scrool tiktok dehh😙,2026-02-17 10:02:24
Afifah nabil,1,masa gada fitur 100perak si njis,2026-02-17 10:01:34
bulat segitiga Bulat,5,sangat keren,2026-02-17 09:59:55
RA.SAHNIA AMANDA Apo,5,keren bnget,2026-02-17 09:59:42
Nandien Yucell,5,aplikasi yang baguss and jenius,2026-02-17 09:58:36
hafi,1,"tiba tiba kena pelanggaran yang ga jelas,tiktok gaje gaakan nyentuh tiktok lagi,awas lu",2026-02-17 09:57:30
nazril epep,1,kebanyakan vt tentang judi!,2026-02-17 09:56:51
Grab Hilman,5,bagussssss mantap okkkkkk,2026-02-17 09:56:33
Shofura Zahida,5,videonya kenapa suka lambat gitu ya taoi soundnya normal. jadi gak nyaman nontonnya,2026-02-17 09:56:10
